nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
"Código único de identificación del hogar","5","C","unhhid","","00001 - 20218"
"Clave única del hogar","5","C","cunicah","","00001 - 20218"
"Número de Persona","3","C","np","","010-044"
"Código de Identificación Personal 2001","1","C","codent01","codent01","1,2"
"Número del Subhogar 2001","2","C","subhog_01","subhog_01","00-04,11-18,31-38, 70-72,77,88,99"
"Actualización del código de hogar 2003","2","C","acthog","acthog","00-32"
"Código de Identificación Personal 2003","1","C","codent03","codent03","1 - 4"
"Número del Subhogar 2003","2","C","subhog_03","subhog_03","00-04,11-18,31-38, 70-72,77,88,99"
"Número del Subhogar 2012","2","C","subhog_12","subhog_12","00-04,11-18,31-38, 70-72,77,88,99"
"Número del Subhogar 2015","2","C","subhog_15","subhog_15","00-04,11-18,31-38, 70-72,77,88,99"
"Número del Subhogar 2018","2","C","subhog_18","subhog_18","00-04,11-18,19,20,31-38, 70-72,77,88,99"
"Seguimiento y nueva muestra / cónyuges 2018","1","C","new_sample_18","new_sample_18","1 - 4"
"Tipo de Entrevista","1","C","tipent_18","tipent_18","1 - 5"
"Motivo de la Entrevista Proxy 2018","1","C","reason_proxy_18","reason_proxy_18","1-4"
"Entrevista 2018 completa/incompleta","1","C","nocomplete_18","","0,1"
"Fecha de Entrevista","8","C","int_date_18","",""
"Resultado de Ejercicios Cognoscitivos","1","C","resul_ec_18","resul_ec_18","1 - 4"
"Resultado de las secciones del subhogar 2018","1","C","resul_hh_18","resul_hh_18","1-3"
"Factor Hogar","5","C","factorh_18","","00000-90984"
"Factor individual","5","C","factori_18","","0-99999"
"Edad","3","C","age_18","","017-107,888,999"
"Sexo","1","C","sex_18","sex_18","1,2"
"Tamaño de Localidad","1","C","tam_loc_18","tam_loc_18","1 - 4"
"Residencia actual en estados de alta migración desde 2018","1","C","eam_18","","1"
"Años de Educación ( solo nueva muestra)","2","C","yrschool_18","yrschool_18","00-76,77,88,99"
"Años de Educación","2","C","yrschool","","00-22"
"PreguntaA1.18ENTREVISTADOR: REGISTRA SI EL INFORMANTE ES:","1","C","a1_18","a1_18","1,2"
"PreguntaA2A1.18En la última entrevista usted dijo que su fecha de nacimiento era (FECHA) , ¿es esto correcto?","1","C","a2a1_18","a2a1_18","1,2"
"PreguntaA2A2.1.18Día","2","C","a2a2_1_18","a2a2_1_18","01-31,88,99"
"PreguntaA2A2.2.18Mes","2","C","a2a2_2_18","a2a2_2_18","01-12,88,99"
"PreguntaA2A2.3.18Año","4","C","a2a2_3_18","a2a2_3_18","1911-1992,8888,9999"
"PreguntaA2B.18¿Cuál es su edad en años cumplidos?","3","C","a2b_18","a2b_18","026-107,888,999"
"PreguntaA3.18¿Actualmente usted…","1","C","a3_18","a3_18","1 - 5,7"
"PreguntaA4.18¿Usted continúa casado(a) (en unión) con la misma persona que (en AÑO/la última vez que hablamos con usted)?","1","C","a4_18","a4_18","1,2,8,9"
"PreguntaA5.18¿Su último matrimonio (unión) terminó después de la última vez que hablamos con usted?","1","C","a5_18","a5_18","1,2,8,9"
"PreguntaA6.18¿Este matrimonio (unión) comenzó después de la última vez que hablamos con usted?","1","C","a6_18","a6_18","1,2,8,9"
"PreguntaA7.18En la última entrevista usted dijo que tenía (NUMERO) hijos/hijas que nacieron vivos, ¿es esto correcto?","1","C","a7_18","a7_18","1,2"
"PreguntaA7A.18¿Cuántos hijos /hijas que nacieron vivos ha tenido usted?","2","C","a7a_18","a7a_18","00,01-22,88,99"
"PreguntaA8.18De los hijos e hijas que nacieron vivos, ¿cuántos viven todavía?","2","C","a8_18","a8_18","00-22,88,96,99"
"PreguntaA13A.18¿Cuántos años ha vivido en esta localidad?","2","C","a13a_18","a13a_18","00,01,02-87,88,89-96,97,98,99"
"PreguntaA13B.18Desde la última vez que hablamos con usted, ¿se cambió de domicilio?","1","C","a13b_18","a13b_18","1,2,8,9"
"PreguntaA13C.18 Desde la última vez que hablamos con usted, ¿ocurrió algún desastre (como un huracán, terremoto, tornado, inundación, incendio) que afectó su vivienda?","1","C","a13c_18","a13c_18","1,2,8,9"
"PreguntaA14.18 Desde la última vez que hablamos con usted, sin contar vacaciones o visitas cortas, ¿ha trabajado o vivido usted en Estados Unidos?","1","C","a14_18","a14_18","1,2,7,8,9"
"PreguntaA15.18¿Fue esta la primera vez que fue a Estados Unidos a trabajar o a vivir?","1","C","a15_18","a15_18","1,2,8,9"
"PreguntaA16A.18¿En qué año se fue en esta primera ocasión a Estados Unidos?","4","C","a16a_18","a16a_18","1950-2018,8888, 9999"
"PreguntaA16B.18¿Cuál diría usted que fue la razón principal por la que fue a Estados Unidos ...","1","C","a16b_18","a16b_18","1 - 9"
"PreguntaA17.18Para esa primera estadía en Estados Unidos, cuando usted salió de la República Mexicana, ¿conocía a alguien que le ayudaría a establecerse en el lugar a donde fue?","1","C","a17_18","a17_18","1,2,8,9"
"PreguntaA19.1.18Aproximadamente, ¿en qué año o a qué edad regresó de Estados Unidos en esa ocasión?","4","C","a19_1_18","a19_1_18","1957-2018,8888,9999"
"PreguntaA19.2.18Aproximadamente, ¿en qué año o a qué edad regresó de Estados Unidos en esa ocasión?","3","C","a19_2_18","a19_2_18","031-046,888,999"
"PreguntaA20.18 En total cuando vivió en Estados Unidos, ¿usted vivió principalmente en áreas urbanas (ciudades) o en rurales (pueblo, granja, rancho)?","1","C","a20_18","a20_18","1-3,8,9"
"PreguntaA21.18 En total, ¿como por cuántos años ha trabajado o vivido usted en Estados Unidos?","2","C","a21_18","a21_18","01,02-87,88,89-98,99"
"PreguntaA22.18Piense por favor en la estadía más larga en Estados Unidos, la mayor parte del tiempo, ¿qué tipo de trabajo realizó usted...","2","C","a22_18","a22_18","01-08,88,99"
"PreguntaA22A.18Piense por favor en la estadía más larga en Estados Unidos, la mayor parte del tiempo, ¿qué tipo de trabajo realizó usted...","50","C","a22a_18","","A-Z,0-9"
"PreguntaA23.18Para esa estadía en Estados Unidos, ¿generalmente usted enviaba dinero a su familia en México?","1","C","a23_18","a23_18","1,2,8,9"
"PreguntaA27.1.18¿Su intención era que ese dinero se usara… como ahorro para cuando regresara a México?","1","C","a27_1_18","a27_1_18","0,1"
"PreguntaA27.2.18¿Su intención era que ese dinero se usara… para mantener a su familia?","1","C","a27_2_18","a27_2_18","0,1"
"PreguntaA27.3.18¿Su intención era que ese dinero se usara… para mejorar su propiedad en México?","1","C","a27_3_18","a27_3_18","0,1"
"PreguntaA27.4.18¿Su intención era que ese dinero se usara… para comprar muebles u otras cosas caras en la casa?","1","C","a27_4_18","a27_4_18","0,1"
"PreguntaA27.5.18¿Su intención era que ese dinero se usara…?","1","C","a27_5_18","a27_5_18","0,1"
"PreguntaA27.8.18¿Su intención era que ese dinero se usara…?","1","C","a27_8_18","a27_8_18","0,1"
"PreguntaA27.9.18¿Su intención era que ese dinero se usara…?","1","C","a27_9_18","a27_9_18","0,1"
"PreguntaA28.18 Ahora piense acerca de la última vez que fue a trabajar o a vivir en Estados Unidos ¿cuál diría usted que fue la razón principal por la que fue a Estados Unidos ...","1","C","a28_18","a28_18","1-9"
"PreguntaA29A1.18 En esa última vez, después de que vivió o trabajó allá, ¿en qué año o qué edad tenía usted cuando regresó?","4","C","a29a1_18","a29a1_18","1938-2018,8888,9999"
"PreguntaA29A2.18 En esa última vez, después de que vivió o trabajó allá, ¿en qué año o qué edad tenía usted cuando regresó?","3","C","a29a2_18","a29a2_18","019-078,888,999"
"PreguntaA29B01.18En esa última vez que regresó de Estados Unidos, ¿se regresó porque … usted estaba enfermo?","1","C","a29b01_18","a29b01_18","0,1"
"PreguntaA29B02.18En esa última vez que regresó de Estados Unidos, ¿se regresó porque … usted extrañaba a su familia?","1","C","a29b02_18","a29b02_18","0,1"
"PreguntaA29B03.18En esa última vez que regresó de Estados Unidos, ¿se regresó porque … le fue difícil permanecer en Estados Unidos?","1","C","a29b03_18","a29b03_18","0,1"
"PreguntaA29B04.18En esa última vez que regresó de Estados Unidos, ¿se regresó porque … era muy caro quedarse en Estados Unidos?","1","C","a29b04_18","a29b04_18","0,1"
"PreguntaA29B05.18En esa última vez que regresó de Estados Unidos, ¿se regresó porque … no ganaba suficiente allá?","1","C","a29b05_18","a29b05_18","0,1"
"PreguntaA29B06.18En esa última vez que regresó de Estados Unidos, ¿se regresó porque … tuvo problemas relacionados con migración?","1","C","a29b06_18","a29b06_18","0,1"
"PreguntaA29B07.18En esa última vez que regresó de Estados Unidos, ¿se regresó porque … tuvo problemas familiares en México?","1","C","a29b07_18","a29b07_18","0,1"
"PreguntaA29B08.18En esa última vez que regresó de Estados Unidos, ¿se regresó porque …?","1","C","a29b08_18","a29b08_18","0,1"
"PreguntaA29B88.18En esa última vez que regresó de Estados Unidos, ¿se regresó porque …?","1","C","a29b88_18","a29b88_18","0,1"
"PreguntaA29B99.18En esa última vez que regresó de Estados Unidos, ¿se regresó porque …?","1","C","a29b99_18","a29b99_18","0,1"
"PreguntaA30.18REGISTRA SI MARCÓ MÁS DE UNA RAZÓN EN A.29b","1","C","a30_18","a30_18","1,2"
